name,category,geometry
Unnamed Location,mice,POINT (1.5078452 42.5014746)
Unnamed Location,mice,POINT (1.5076201 42.5013302)
Unnamed Location,mice,POINT (1.5082735 42.5010744)
Unnamed Location,mice,POINT (1.508253 42.5015798)
Unnamed Location,mice,POINT (1.5095575 42.5018788)
Unnamed Location,mice,POINT (1.5097867 42.5018589)
Unnamed Location,mice,POINT (1.5092107 42.5013396)
Unnamed Location,mice,POINT (1.5091348 42.5019635)
Unnamed Location,mice,POINT (1.5091609 42.5021255)
Unnamed Location,mice,POINT (1.5091948 42.5011903)
Unnamed Location,mice,POINT (1.5085501 42.5010173)
Unnamed Location,mice,POINT (1.5085998 42.501125)
Unnamed Location,mice,POINT (1.50906 42.5011022)
Unnamed Location,mice,POINT (1.5090562 42.5010355)
Unnamed Location,mice,POINT (1.5091486 42.5010327)
Unnamed Location,mice,POINT (1.5091467 42.5009574)
Unnamed Location,mice,POINT (1.509139 42.5009134)
Unnamed Location,mice,POINT (1.5093868 42.5009376)
Unnamed Location,mice,POINT (1.5093948 42.5011757)
Unnamed Location,mice,POINT (1.5079094 42.5011613)
Unnamed Location,mice,POINT (1.5073351 42.4997665)
Unnamed Location,mice,POINT (1.5073447 42.4998233)
Unnamed Location,mice,POINT (1.507782 42.5002135)
Unnamed Location,mice,POINT (1.5079288 42.500034)
Unnamed Location,mice,POINT (1.5074354 42.4998117)
Unnamed Location,mice,POINT (1.5081233 42.5011102)
Unnamed Location,mice,POINT (1.5082889 42.5010712)
Unnamed Location,mice,POINT (1.5077091 42.5002447)
Unnamed Location,mice,POINT (1.507898 42.5000201)
Unnamed Location,mice,POINT (1.5091253 42.5019089)
Unnamed Location,mice,POINT (1.5095839 42.5019831)
Unnamed Location,mice,POINT (1.5093872 42.5020168)
Unnamed Location,mice,POINT (1.5093545 42.5020395)
Unnamed Location,mice,POINT (1.5093352 42.5020907)
Unnamed Location,mice,POINT (1.5093371 42.5021119)
Unnamed Location,mice,POINT (1.5098194 42.502007)
Unnamed Location,mice,POINT (1.5099842 42.5019899)
Unnamed Location,mice,POINT (1.510067 42.5019501)
Unnamed Location,mice,POINT (1.5101498 42.5019132)
Unnamed Location,mice,POINT (1.5101498 42.5018621)
Unnamed Location,mice,POINT (1.5100689 42.5018479)
Unnamed Location,mice,POINT (1.5098436 42.501855)
Unnamed Location,mice,POINT (1.509002 42.4994717)
Unnamed Location,mice,POINT (1.5087917 42.4993748)
Unnamed Location,mice,POINT (1.5090631 42.4989938)
Unnamed Location,mice,POINT (1.5093143 42.499108)
Unnamed Location,mice,POINT (1.5083197 42.4989072)
Unnamed Location,mice,POINT (1.5085899 42.4990099)
Unnamed Location,mice,POINT (1.5090546 42.4983318)
Unnamed Location,mice,POINT (1.5090794 42.4982932)
Unnamed Location,mice,POINT (1.5088036 42.4981987)
Unnamed Location,mice,POINT (1.5087908 42.4981897)
Unnamed Location,mice,POINT (1.5114226 42.4989166)
Unnamed Location,mice,POINT (1.511738 42.4993136)
Unnamed Location,mice,POINT (1.5118853 42.4992468)
Unnamed Location,mice,POINT (1.5139319 42.5021235)
Unnamed Location,mice,POINT (1.5149854 42.5023484)
Unnamed Location,mice,POINT (1.5148051 42.5024929)
Unnamed Location,mice,POINT (1.5153031 42.5026474)
Unnamed Location,mice,POINT (1.5153539 42.5026962)
Unnamed Location,mice,POINT (1.5152377 42.5027803)
Unnamed Location,mice,POINT (1.515639 42.5029136)
Unnamed Location,mice,POINT (1.5168127 42.5030595)
Unnamed Location,mice,POINT (1.5158281 42.5031441)
Unnamed Location,mice,POINT (1.5161116 42.5031525)
Unnamed Location,mice,POINT (1.5163354 42.5032097)
Unnamed Location,mice,POINT (1.5160061 42.5032753)
Unnamed Location,mice,POINT (1.5160422 42.5033169)
Unnamed Location,mice,POINT (1.5196095 42.5017157)
Unnamed Location,mice,POINT (1.5178713 42.4993999)
Unnamed Location,mice,POINT (1.5176405 42.4993172)
Unnamed Location,mice,POINT (1.5181148 42.5014848)
Unnamed Location,mice,POINT (1.5183432 42.5015743)
Unnamed Location,mice,POINT (1.518371 42.5015036)
Unnamed Location,mice,POINT (1.5181678 42.5010995)
Unnamed Location,mice,POINT (1.518514 42.5012862)
Unnamed Location,mice,POINT (1.5184869 42.501077)
Unnamed Location,mice,POINT (1.5151593 42.5022906)
Unnamed Location,mice,POINT (1.51567 42.5026688)
Unnamed Location,mice,POINT (1.5169838 42.5025053)
Unnamed Location,mice,POINT (1.5150837 42.5021346)
Unnamed Location,mice,POINT (1.51519 42.5020623)
Unnamed Location,mice,POINT (1.5151389 42.5020215)
Unnamed Location,mice,POINT (1.5150326 42.5020938)
Unnamed Location,mice,POINT (1.5196387 42.5021333)
Unnamed Location,mice,POINT (1.519647 42.5020925)
Unnamed Location,mice,POINT (1.519409 42.5020591)
Unnamed Location,mice,POINT (1.5194509 42.5018849)
Unnamed Location,mice,POINT (1.5197392 42.5019195)
Unnamed Location,mice,POINT (1.5196839 42.502137)
Unnamed Location,mice,POINT (1.5196739 42.5021926)
Unnamed Location,mice,POINT (1.5190704 42.5023533)
Unnamed Location,mice,POINT (1.5188659 42.5019046)
Unnamed Location,mice,POINT (1.5188927 42.5017477)
Unnamed Location,mice,POINT (1.5191978 42.5016364)
Unnamed Location,mice,POINT (1.5193973 42.5015944)
Unnamed Location,mice,POINT (1.5196152 42.5016142)
Unnamed Location,mice,POINT (1.519756 42.501854)
Unnamed Location,mice,POINT (1.5192141 42.501633)
Unnamed Location,mice,POINT (1.5194123 42.5015958)
Unnamed Location,mice,POINT (1.5195933 42.5022141)
Unnamed Location,mice,POINT (1.5154981 42.5028098)
Unnamed Location,mice,POINT (1.5158526 42.5030194)
Unnamed Location,mice,POINT (1.5162201 42.5031811)
Unnamed Location,mice,POINT (1.5171894 42.5006325)
Unnamed Location,mice,POINT (1.5170168 42.5025052)
Unnamed Location,mice,POINT (1.5170727 42.5025537)
Unnamed Location,mice,POINT (1.5171188 42.5025733)
Unnamed Location,mice,POINT (1.5171535 42.5026202)
Unnamed Location,mice,POINT (1.5177801 42.5014338)
Unnamed Location,mice,POINT (1.5178717 42.501301)
Unnamed Location,mice,POINT (1.5174716 42.5011509)
